# Q = discharge (cfs) in Otter Creek at Rutland (id: 04282575) and Middlebury (id: 0428575) VT
id	YYYY	MM	DD	hh	mm	Q
04282000	2016	10	08	16	45	64.6
04282000	2016	10	08	17	00	63.6
04282000	2016	10	08	17	15	63.6
04282000	2016	10	08	17	30	63.6
04282000	2016	10	08	17	45	63.6
04282000	2016	10	08	18	00	62.6
04282000	2016	10	08	18	15	63.6
04282000	2016	10	08	18	30	63.6
04282000	2016	10	08	18	45	63.6
04282000	2016	10	08	19	00	63.6
04282000	2016	10	08	19	15	62.6
04282000	2016	10	08	19	30	63.6
04282000	2016	10	08	19	45	63.6
04282000	2016	10	08	20	00	62.6
04282000	2016	10	08	20	15	62.6
04282000	2016	10	08	20	30	62.6
